model,google-analogies.csv,jair.csv,msr.csv,sat.csv,semeval.csv
vectors.100.vw,0.56566936,0,0.5181261,0.22984047,0.24702403
vectors.150.vw,0.52832794,0,0.49000055,0.2047717,0.2210983
vectors.250.vw,0.47829783,0,0.4507169,0.17471649,0.18987046
vectors.300.vw,0.46010032,0,0.43649906,0.16416313,0.17929642
vectors.400.vw,0.42723885,0,0.4128722,0.14949596,0.16291577
vectors.50.vw,0.6158859,0,0.5557572,0.27176368,0.28892532
