model,8-8-8.csv,wikisem500.csv
vectors.150.vw,0.96875,0.4352611940298507
vectors.300.vw,0.875,0.40423773987206824
vectors.50.2.10.vw,0.84375,0.4597459132906894
vectors.50.2.vw,0.75,0.45090174129353233
vectors.50.3.vw,0.78125,0.45316275764036956
